Measure Name,Year,Period,Value
Crime Total Number of Incidents (in 7 Crime Categories),2007,Jan,3778
Crime Total Number of Incidents (in 7 Crime Categories),2007,Feb,3234
Crime Total Number of Incidents (in 7 Crime Categories),2007,Mar,3789
Crime Total Number of Incidents (in 7 Crime Categories),2007,Apr,3821
Crime Total Number of Incidents (in 7 Crime Categories),2007,May,3975
Crime Total Number of Incidents (in 7 Crime Categories),2007,Jun,4019
Crime Total Number of Incidents (in 7 Crime Categories),2007,Jul,3864
Crime Total Number of Incidents (in 7 Crime Categories),2007,Aug,4079
Crime Total Number of Incidents (in 7 Crime Categories),2007,Sep,3994
Crime Total Number of Incidents (in 7 Crime Categories),2007,Oct,3911
Crime Total Number of Incidents (in 7 Crime Categories),2007,Nov,3626
Crime Total Number of Incidents (in 7 Crime Categories),2007,Dec,3428
Crime Total Number of Incidents (in 7 Crime Categories),2008,Jan,3603
Crime Total Number of Incidents (in 7 Crime Categories),2008,Feb,3119
Crime Total Number of Incidents (in 7 Crime Categories),2008,Mar,3285
Crime Total Number of Incidents (in 7 Crime Categories),2008,Apr,3316
Crime Total Number of Incidents (in 7 Crime Categories),2008,May,3474
Crime Total Number of Incidents (in 7 Crime Categories),2008,Jun,3642
Crime Total Number of Incidents (in 7 Crime Categories),2008,Jul,3612
Crime Total Number of Incidents (in 7 Crime Categories),2008,Aug,3691
Crime Total Number of Incidents (in 7 Crime Categories),2008,Sep,3586
Crime Total Number of Incidents (in 7 Crime Categories),2008,Oct,3580
Crime Total Number of Incidents (in 7 Crime Categories),2008,Nov,3409
Crime Total Number of Incidents (in 7 Crime Categories),2008,Dec,3149
Crime Total Number of Incidents (in 7 Crime Categories),2009,Jan,3150
Crime Total Number of Incidents (in 7 Crime Categories),2009,Feb,2837
Crime Total Number of Incidents (in 7 Crime Categories),2009,Mar,3296
Crime Total Number of Incidents (in 7 Crime Categories),2009,Apr,3081
Crime Total Number of Incidents (in 7 Crime Categories),2009,May,3341
Crime Total Number of Incidents (in 7 Crime Categories),2009,Jun,3332
Crime Total Number of Incidents (in 7 Crime Categories),2009,Jul,3226
Crime Total Number of Incidents (in 7 Crime Categories),2009,Aug,3297
Crime Total Number of Incidents (in 7 Crime Categories),2009,Sep,3345
Crime Total Number of Incidents (in 7 Crime Categories),2009,Oct,3446
Crime Total Number of Incidents (in 7 Crime Categories),2009,Nov,3258
Crime Total Number of Incidents (in 7 Crime Categories),2009,Dec,3028
Crime Total Number of Incidents (in 7 Crime Categories),2010,Jan,3187
Crime Total Number of Incidents (in 7 Crime Categories),2010,Feb,2986
Crime Total Number of Incidents (in 7 Crime Categories),2010,Mar,3043
Crime Total Number of Incidents (in 7 Crime Categories),2010,Apr,3112
Crime Total Number of Incidents (in 7 Crime Categories),2010,May,3169
Crime Total Number of Incidents (in 7 Crime Categories),2010,Jun,3171
Crime Total Number of Incidents (in 7 Crime Categories),2010,Jul,3131
Crime Total Number of Incidents (in 7 Crime Categories),2010,Aug,3098
Crime Total Number of Incidents (in 7 Crime Categories),2010,Sep,2980
Crime Total Number of Incidents (in 7 Crime Categories),2010,Oct,3278
Crime Total Number of Incidents (in 7 Crime Categories),2010,Nov,3059
Crime Total Number of Incidents (in 7 Crime Categories),2010,Dec,2519
Crime Total Number of Incidents (in 7 Crime Categories),2011,Jan,2853
Crime Total Number of Incidents (in 7 Crime Categories),2011,Feb,2543
Crime Total Number of Incidents (in 7 Crime Categories),2011,Mar,2901
Crime Total Number of Incidents (in 7 Crime Categories),2011,Apr,2839
Crime Total Number of Incidents (in 7 Crime Categories),2011,May,3175
Crime Total Number of Incidents (in 7 Crime Categories),2011,Jun,3026
Crime Total Number of Incidents (in 7 Crime Categories),2011,Jul,3195
Crime Total Number of Incidents (in 7 Crime Categories),2011,Aug,2966
Crime Total Number of Incidents (in 7 Crime Categories),2011,Sep,3153
Crime Total Number of Incidents (in 7 Crime Categories),2011,Oct,3087
Crime Total Number of Incidents (in 7 Crime Categories),2011,Nov,2968
Crime Total Number of Incidents (in 7 Crime Categories),2011,Dec,2894
Crime Total Number of Incidents (in 7 Crime Categories),2012,Jan,3214
Crime Total Number of Incidents (in 7 Crime Categories),2012,Feb,3005
Crime Total Number of Incidents (in 7 Crime Categories),2012,Mar,3225
Crime Total Number of Incidents (in 7 Crime Categories),2012,Apr,2942
Crime Total Number of Incidents (in 7 Crime Categories),2012,May,3259
Crime Total Number of Incidents (in 7 Crime Categories),2012,Jun,3153
Crime Total Number of Incidents (in 7 Crime Categories),2012,Jul,3083
Crime Total Number of Incidents (in 7 Crime Categories),2012,Aug,3233
Crime Total Number of Incidents (in 7 Crime Categories),2012,Sep,3053
Crime Total Number of Incidents (in 7 Crime Categories),2012,Oct,3013
Crime Total Number of Incidents (in 7 Crime Categories),2012,Nov,2940
Crime Total Number of Incidents (in 7 Crime Categories),2012,Dec,2630
Crime Total Number of Incidents (in 7 Crime Categories),2013,Jan,2697
Crime Total Number of Incidents (in 7 Crime Categories),2013,Feb,2406
Crime Total Number of Incidents (in 7 Crime Categories),2013,Mar,2751
Crime Total Number of Incidents (in 7 Crime Categories),2013,Apr,2708
Crime Total Number of Incidents (in 7 Crime Categories),2013,May,2932
Crime Total Number of Incidents (in 7 Crime Categories),2013,Jun,3036
Crime Total Number of Incidents (in 7 Crime Categories),2013,Jul,2926
Crime Total Number of Incidents (in 7 Crime Categories),2013,Aug,2872
Crime Total Number of Incidents (in 7 Crime Categories),2013,Sep,2869
Crime Total Number of Incidents (in 7 Crime Categories),2013,Oct,2907
Crime Total Number of Incidents (in 7 Crime Categories),2013,Nov,3042
Crime Total Number of Incidents (in 7 Crime Categories),2013,Dec,2533
Crime Total Number of Incidents (in 7 Crime Categories),2014,Jan,2614
